Região,Produto,Vendas
Norte,Produto_B,72.03877283207055
Nordeste,Produto_D,355.37453851218567
Sudeste,Produto_G,212.73182652733956
Nordeste,Produto_F,479.71302702596245
Sudeste,Produto_C,302.3099891913166
Sul,Produt_A,194.29691479007172
Centro-Oeste,Produto_D,454.6639738457937
Norte,Produt_A,204.26880814090376
Sul,Produto_G,128.0920046007461
Norte,Produto_G,235.7408942187234
Centro-Oeste,Produto_F,130.99898479772503
Centro-Oeste,Produto_E,111.57422528098515
Sul,Produto_H,265.7180045183039
Sudeste,Produto_E,132.0756259392139
Norte,Produto_E,41.0597670348764
Nordeste,Produto_C,251.69561586091464
Norte,Produto_D,176.90292401490453
Sul,Produto_E,300.7064405133829
Norte,Produto_C,46.6170613537788
Centro-Oeste,Produto_H,131.2319391550639
Centro-Oeste,Produto_G,68.53496997987668
Sul,Produto_G,0.9764590174639598
Sudeste,Produto_F,230.2629050418697
Norte,Produto_C,359.79335418930583
Centro-Oeste,Produto_B,208.8617774252144
Centro-Oeste,Produto_G,64.82361663490416
Sul,Produto_C,85.19911207388026
Sul,Produto_H,268.7112042806873
Sudeste,Produto_G,343.5839381004076
Sul,Produto_E,475.84781081189686
Centro-Oeste,Produto_F,435.18184381304206
Nordeste,Produto_B,290.71435973815767
Centro-Oeste,Produt_A,382.5367750212858
Nordeste,Produto_E,123.29610804555429
Centro-Oeste,Produto_E,191.03324784861547
Sul,Produt_A,32.87744207553117
Sul,Produto_H,176.71128501131906
Sudeste,Produto_D,62.13764467025079
Sul,Produto_H,397.5082769964233
Sudeste,Produto_F,137.90604847658133
Sul,Produto_C,45.917661442646086
Sudeste,Produt_A,32.564408511309374
Norte,Produt_A,488.27669446999056
Norte,Produto_E,348.5014662899871
Centro-Oeste,Produto_E,249.55175812304697
Norte,Produto_C,178.23378648734788
Centro-Oeste,Produto_E,112.88768649882257
Norte,Produto_B,118.20341615694358
Sudeste,Produto_C,486.4588463461755
Nordeste,Produto_F,9.164461958032222
Norte,Produto_E,319.9160829308599
Sudeste,Produto_E,270.11507059184123
Sul,Produt_A,211.12655348447163
Sul,Produto_C,496.72497933804135
Sul,Produto_F,420.9931643890017
Centro-Oeste,Produto_G,254.10503464736934
Sudeste,Produto_H,115.55540716845414
Sudeste,Produto_C,221.48223436424215
Nordeste,Produto_F,66.3573137254857
Norte,Produto_B,346.9185724134609
Norte,Produto_D,228.266607316092
Nordeste,Produto_C,392.0799182281767
Norte,Produto_H,411.3345260993931
Nordeste,Produto_D,123.2386466172759
Nordeste,Produto_C,144.71445248921384
Centro-Oeste,Produto_C,161.9813655001086
Norte,Produto_C,124.63720747260709
Nordeste,Produto_C,11.537664310043716
Centro-Oeste,Produt_A,398.3646281481377
Sul,Produto_B,365.5623882152076
Norte,Produto_C,462.30954689728566
Norte,Produto_H,393.97071735338307
Nordeste,Produto_H,174.8468118619318
Sudeste,Produto_E,266.7155301379889
Norte,Produto_G,138.03432906835633
Sul,Produto_B,303.87519672063115
Sul,Produt_A,50.082011014261795
Sul,Produto_D,225.1674521861693
Centro-Oeste,Produto_G,122.41283497297434
Sul,Produto_D,231.40125803470497
Norte,Produto_G,262.35817690997783
Sudeste,Produto_G,281.93165194179056
Nordeste,Produto_D,335.4803257720093
Nordeste,Produto_H,477.28371379031034
Nordeste,Produto_H,195.49534917700723
Sul,Produto_G,51.12896362656855
Sudeste,Produto_E,361.12888357289614
Sudeste,Produto_C,276.66536312827895
Sul,Produto_H,168.2158100568062
Nordeste,Produto_B,294.22130486914443
Sudeste,Produt_A,329.88575564944495
Norte,Produto_B,246.672432560548
Centro-Oeste,Produt_A,136.13648045326383
Sul,Produto_G,210.0475797301922
Sudeste,Produto_H,150.0457225697166
Norte,Produto_B,346.3245097758628
Sul,Produto_B,289.3621610599074
Norte,Produto_G,76.52095590233749
Nordeste,Produto_C,379.03118588130695
Nordeste,Produto_G,190.91941655549527
