Região,Produto,Vendas
Norte,Produto_C,195.74705298411942
Nordeste,Produto_F,499.5550215474199
Nordeste,Produto_B,211.37595790896162
Sudeste,Produto_E,260.0159609173902
Sul,Produto_H,245.03204210389057
Sul,Produto_H,5.4307685970486075
Sudeste,Produto_E,126.50657428846829
Sul,Produto_E,428.71646556140945
Sul,Produto_E,170.76209694847572
Sudeste,Produto_C,10.789596466366957
Sudeste,Produto_D,268.1341767528836
Centro-Oeste,Produto_E,305.1740516099703
Sudeste,Produto_E,179.08829552272925
Sul,Produto_B,22.447023557667645
Sudeste,Produto_E,56.90836767493623
Nordeste,Produto_C,345.00146609612295
Norte,Produto_E,257.357391547561
Norte,Produto_E,168.2124502153643
Centro-Oeste,Produto_B,107.54698852455513
Centro-Oeste,Produto_B,421.80680112975307
Nordeste,Produto_H,52.12049799306418
Centro-Oeste,Produto_A,348.84333912952
Nordeste,Produto_F,164.08070666631747
Sul,Produto_E,164.72869862173854
Norte,Produto_D,287.35322568853366
Nordeste,Produto_D,353.2570609315941
Norte,Produto_F,98.4506671268498
Sudeste,Produto_E,84.4754390474488
Sul,Produto_H,313.5367183397169
Sudeste,Produto_G,399.59991211704136
Nordeste,Produto_D,57.444394023857704
Sudeste,Produto_B,166.62875767554996
Centro-Oeste,Produto_G,209.69392127330067
Centro-Oeste,Produto_B,177.4636488825691
Sudeste,Produto_H,252.9289724046938
Norte,Produto_C,283.6914739358832
Sul,Produto_B,318.043330433802
Sul,Produto_A,491.4682900738403
Nordeste,Produto_C,242.41417305191936
Sudeste,Produto_F,392.7339912896995
Sul,Produto_F,317.0379806329207
Centro-Oeste,Produto_D,63.19347214164417
Sul,Produto_D,200.371113838339
Centro-Oeste,Produto_G,343.77855717968794
Norte,Produto_G,155.49105847347423
Norte,Produto_B,440.53931210088535
Nordeste,Produto_D,419.7940448441027
Centro-Oeste,Produto_G,78.71806897200261
Norte,Produto_E,379.2359930860582
Nordeste,Produto_B,335.48944548207777
Centro-Oeste,Produto_E,53.256985194856
Sudeste,Produto_H,377.7037199233616
Sul,Produto_A,54.64894732667275
Sul,Produto_G,202.22460495368665
Norte,Produto_F,162.01403060936448
Nordeste,Produto_D,218.1647165825414
Sudeste,Produto_F,182.75785748797009
Nordeste,Produto_D,136.9111624820859
Sul,Produto_A,417.80320480445494
Norte,Produto_D,362.92326712252145
Norte,Produto_E,287.63949953676
Centro-Oeste,Produto_A,208.43360328163
Sul,Produto_B,345.80128242236907
Sudeste,Produto_F,202.88871833081944
Sul,Produto_G,33.11244234005023
Sul,Produto_G,125.75474740389986
Nordeste,Produto_F,18.423710753634246
Norte,Produto_G,351.8486738102696
Sudeste,Produto_C,223.67961695681788
Nordeste,Produto_B,5.142720613613427
Nordeste,Produto_A,488.85152287998096
Centro-Oeste,Produto_A,163.5503205322047
Nordeste,Produto_D,104.82025884975354
Sul,Produto_C,209.2844043927571
Nordeste,Produto_E,404.04636523808557
Norte,Produto_E,270.0842681010017
Sudeste,Produto_E,162.61288453902606
Norte,Produto_H,464.3449023381206
Centro-Oeste,Produto_C,474.15825728270335
Norte,Produto_D,198.42244610906772
Norte,Produto_B,135.21760231374824
Norte,Produto_A,471.81673887457237
Sudeste,Produto_G,279.1668591039907
Norte,Produto_A,481.4261824485748
Sul,Produto_H,497.159073216691
Norte,Produto_D,264.5432201227794
Centro-Oeste,Produto_F,455.2555155465693
Sul,Produto_F,24.364299661951083
Centro-Oeste,Produto_G,322.66559513413335
Nordeste,Produto_H,497.78851904806083
Centro-Oeste,Produto_H,430.4107337792867
Centro-Oeste,Produto_F,15.653693656737966
Sul,Produto_D,373.8853118387145
Norte,Produto_C,105.3023152669858
Sudeste,Produto_G,231.76333835689726
Norte,Produto_A,373.630876614824
Centro-Oeste,Produto_F,354.9867608703918
Nordeste,Produto_G,125.90237368438395
Sul,Produto_C,204.73733482475808
Centro-Oeste,Produto_G,37.824497714659344
