Região,Produto,Vendas
Centro-Oeste,Produto_H,280.224484921944
Centro-Oeste,Produto_A,13.588374709293916
Norte,Produto_F,133.61245187760446
Sudeste,Produto_H,481.62860021977303
Centro-Oeste,Produto_E,49.85958918698152
Centro-Oeste,Produto_H,120.13492553315879
Sudeste,Produto_H,449.38446167362633
Sul,Produto_E,295.0735993645889
Centro-Oeste,Produto_H,365.8261050308675
Nordeste,Produto_B,125.71074061908949
Sudeste,Produto_E,360.2117348545668
Sudeste,Produto_B,422.8282917053101
Nordeste,Produto_H,445.13185341955375
Norte,Produto_D,223.9223068763474
Norte,Produto_H,329.4113778076842
Sudeste,Produto_G,435.64586441291704
Nordeste,Produto_E,475.9285272527285
Sudeste,Produto_B,266.5527070190124
Centro-Oeste,Produto_E,295.0166136698629
Sudeste,Produto_B,228.2018447388351
Centro-Oeste,Produto_D,201.36149771779804
Nordeste,Produto_F,244.04165318007387
Nordeste,Produto_F,263.5883833779865
Centro-Oeste,Produto_G,215.13201504478835
Centro-Oeste,Produto_H,67.67524458001267
Nordeste,Produto_A,111.08853947088193
Sudeste,Produto_E,101.50061442714026
Nordeste,Produto_G,476.1480959476193
Nordeste,Produto_H,309.64420547354786
Norte,Produto_C,119.45472005179042
Nordeste,Produto_F,419.88162767906255
Centro-Oeste,Produto_A,465.0705133665414
Nordeste,Produto_B,80.2119095951997
Centro-Oeste,Produto_A,42.468329325854484
Sudeste,Produto_B,110.45285561995827
Sul,Produto_H,55.44303951980806
Sul,Produto_H,223.37025309117143
Sudeste,Produto_F,239.88071749040378
Sul,Produto_A,326.67514187504634
Nordeste,Produto_C,446.46370981341283
Sul,Produto_B,119.92377947853628
Sudeste,Produto_C,328.965342516937
Nordeste,Produto_H,289.18652014540515
Centro-Oeste,Produto_F,246.51558985130077
Sudeste,Produto_A,345.59381401162943
Norte,Produto_A,297.0110955664265
Centro-Oeste,Produto_D,256.3809874000857
Nordeste,Produto_B,150.87862544982016
Centro-Oeste,Produto_A,386.2257773001233
Centro-Oeste,Produto_C,151.70885218090467
Sul,Produto_B,166.31005479989275
Sudeste,Produto_H,75.33135353639508
Nordeste,Produto_H,130.35031282939246
Sudeste,Produto_D,356.92279555262604
Sul,Produto_H,137.12331690103537
Norte,Produto_C,87.9788885300068
Norte,Produto_D,389.650674874097
Sul,Produto_D,6.198209542085276
Sul,Produto_A,363.00835787995214
Centro-Oeste,Produto_H,381.9930733850986
Centro-Oeste,Produto_G,369.2207887199954
Sudeste,Produto_F,397.50972651000166
Sul,Produto_G,239.02465140052664
Norte,Produto_H,323.26345926953064
Nordeste,Produto_G,116.54271758922575
Sul,Produto_D,280.5798358699425
Norte,Produto_B,280.5979347281435
Centro-Oeste,Produto_E,234.52635269132543
Norte,Produto_H,188.45514147585368
Nordeste,Produto_B,426.84454546404845
Centro-Oeste,Produto_F,366.9305980454334
Centro-Oeste,Produto_H,384.5908194230047
Centro-Oeste,Produto_H,343.01727044315425
Nordeste,Produto_H,105.65918669000857
Nordeste,Produto_B,480.47252490476103
Sudeste,Produto_H,125.12752818470607
Centro-Oeste,Produto_F,344.35243050370457
Sudeste,Produto_A,457.59029507790746
Sudeste,Produto_F,348.79893139140125
Centro-Oeste,Produto_A,450.78436408948915
Norte,Produto_A,166.48555487913498
Sul,Produto_F,443.369708556749
Sul,Produto_E,95.43357224775568
Norte,Produto_G,32.62569210556465
Centro-Oeste,Produto_E,179.3620174475275
Norte,Produto_H,103.2486415009965
Sul,Produto_E,488.6226328385628
Centro-Oeste,Produto_F,317.532746802924
Nordeste,Produto_B,229.49047901908392
Centro-Oeste,Produto_A,304.60123540455675
Nordeste,Produto_H,208.50101022595828
Nordeste,Produto_E,285.4462860196867
Nordeste,Produto_F,162.7754108858947
Nordeste,Produto_B,211.73848291839437
Sul,Produto_B,43.95335559577806
Sul,Produto_H,493.19972912374413
Nordeste,Produto_H,309.55960022354805
Norte,Produto_F,448.11305283639155
Sudeste,Produto_B,368.39768917796596
Sudeste,Produto_H,20.74770730735853
